Seconds,Yaw,Pitch,Temperature (C),Pressure (hPa),Humidity,Battery voltage
225,166,86,35,885,0,4
226,18,69,35,885,0,4
227,108,80,35,885,0,4
228,186,62,35,885,0,4
229,126,76,35,885,0,4
230,258,85,35,885,0,4
231,14,67,35,885,0,4
232,50,67,35,885,0,4
233,72,68,35,885,0,4
234,44,64,35,885,0,4
235,2,82,35,885,0,4
236,8,57,34,885,0,4
237,40,83,34,880,0,4
238,320,87,34,880,0,4
239,10,69,34,880,0,4
240,350,66,34,880,0,4
241,290,81,34,880,0,4
242,176,77,34,880,0,4
243,126,79,34,880,0,4
244,148,80,34,880,0,4
245,214,84,34,880,0,4
246,322,76,34,880,0,4
247,12,62,34,880,0,4
248,340,74,34,880,0,4
249,154,72,34,880,0,4
250,28,55,34,875,0,4
251,354,62,34,875,0,4
252,8,84,34,875,0,4
253,346,82,34,875,0,4
254,282,79,34,875,0,4
255,314,81,34,875,0,4
256,78,74,34,875,0,4
257,106,79,34,875,0,4
258,56,60,34,875,0,4
259,326,81,34,875,0,4
260,292,76,34,875,0,4
261,14,86,34,870,0,4
262,38,86,34,870,0,4
263,76,80,34,870,0,4
264,24,66,34,870,0,4
265,340,86,34,870,0,4
266,276,78,34,870,0,4
267,10,80,34,870,0,4
268,34,78,33,870,0,4
269,22,73,33,870,0,4
270,344,84,33,870,0,4
271,14,51,33,870,0,4
272,314,74,33,870,0,4
273,250,84,33,870,0,4
274,308,80,33,870,0,4
275,304,79,33,865,0,4
276,326,86,33,865,0,4
277,10,78,33,865,0,4
278,96,84,33,865,0,4
279,340,74,33,865,0,4
280,272,66,33,865,0,4
281,308,59,33,865,0,4
282,346,65,33,865,0,4
283,16,82,33,865,0,4
284,338,79,33,865,0,4
285,4,81,33,865,0,4
286,56,78,33,865,0,4
287,34,64,33,865,0,4
288,62,47,33,865,0,4
289,284,72,33,860,0,4
290,230,66,33,860,0,4
291,200,77,33,860,0,4
292,2,55,33,860,0,4
293,32,73,33,860,0,4
294,0,50,33,860,0,4
295,18,56,33,860,0,4
296,240,80,33,860,0,4
297,50,84,33,860,0,4
298,264,83,33,860,0,4
299,214,69,33,860,0,4
300,220,80,33,860,0,4
301,94,84,33,860,0,4
302,10,67,33,855,0,4
303,276,75,33,855,0,4
304,324,60,33,855,0,4
305,10,53,32,855,0,4
306,316,79,32,855,0,4
307,260,84,32,855,0,4
308,154,78,32,855,0,4
309,54,82,32,855,0,4
310,62,85,32,855,0,4
311,64,77,32,855,0,4
312,122,56,32,855,0,4
313,70,72,32,855,0,4
314,26,79,32,855,0,4
315,8,83,32,855,0,4
316,58,82,32,855,0,4
317,130,74,32,855,0,4
318,86,73,32,850,0,4
319,128,66,32,850,0,4
320,198,84,32,850,0,4
321,306,82,32,850,0,4
322,22,69,32,850,0,4
323,18,78,32,850,0,4
324,70,72,32,850,0,4
325,10,77,32,850,0,4
326,110,73,32,850,0,4
327,36,72,32,850,0,4
328,242,78,32,850,0,4
329,206,86,32,850,0,4
330,284,80,32,850,0,4
331,12,84,32,850,0,4
332,14,46,32,850,0,4
333,334,63,32,845,0,4
334,198,82,32,845,0,4
335,258,86,32,845,0,4
336,30,7,32,845,0,4
337,66,14,31,845,0,4
338,68,16,31,850,0,4
339,76,20,31,850,0,4
340,78,12,31,850,0,4
341,92,22,31,850,0,4
342,304,30,31,850,0,4
343,278,52,31,855,0,4
344,272,46,30,855,0,4
345,246,39,30,855,0,4
346,154,67,30,860,0,4
347,24,81,30,860,0,4
348,26,59,29,870,0,4
349,52,58,29,870,0,4
350,80,70,29,870,0,4
351,166,80,29,875,0,4
352,338,41,29,875,0,4
353,354,60,28,880,0,4
354,292,53,28,880,0,4
355,322,57,28,885,0,4
356,328,61,28,885,0,4
357,324,57,28,885,0,4
358,314,56,27,890,0,4
359,298,59,27,890,0,4
360,308,57,27,895,0,4
361,352,63,26,905,0,4
362,290,47,26,905,0,4
363,304,56,26,910,0,4
364,278,57,25,910,0,4
365,232,61,25,915,0,4
366,242,75,25,915,0,4
367,106,32,25,920,0,4
368,110,50,25,920,0,4
369,130,54,25,920,0,4
370,170,33,25,925,0,4
371,196,45,25,925,0,4
372,198,23,25,925,0,4
373,176,58,24,935,0,4
374,182,42,24,935,0,4
375,178,48,24,935,0,4
376,180,23,24,935,0,4
377,186,37,24,935,0,4
378,180,37,24,940,0,4
379,282,85,24,940,0,4
380,318,60,24,940,0,4
381,288,54,24,940,0,4
382,274,37,24,945,0,4
383,132,78,24,945,0,4
384,38,51,23,945,0,4
385,176,56,23,955,0,4
386,246,45,23,960,0,4
387,270,29,23,960,0,4
388,222,41,23,965,0,4
389,170,31,23,965,0,4
390,140,43,23,965,0,4
391,138,27,23,970,0,4
392,148,22,23,970,0,4
393,164,59,23,970,0,4
394,180,35,23,970,0,4
395,184,54,23,970,0,4
396,174,40,23,975,0,4
397,194,58,23,975,0,4
398,176,38,23,980,0,4
399,178,47,23,980,0,4
400,180,28,23,985,0,4
401,184,30,23,985,0,4
402,190,31,23,985,0,4
403,194,48,23,985,0,4
404,192,43,23,990,0,4
405,214,64,23,990,0,4
406,186,43,23,990,0,4
407,162,29,23,990,0,4
408,164,51,23,995,0,4
409,174,39,23,995,0,4
410,190,23,23,1000,0,4
411,186,28,23,1000,0,4
412,182,32,23,1000,0,4
413,210,42,23,1000,0,4
414,214,33,24,1005,0,4
415,210,51,24,1005,0,4
416,202,39,24,1005,0,4
417,194,43,24,1005,0,4
418,116,41,24,1010,0,4
